"","Observation Number","Cluster_Membership"
"1",1,1
"2",2,1
"3",3,1
"4",4,1
"5",5,1
"6",6,1
"7",7,1
"8",8,1
"9",9,1
"10",10,2
"11",11,3
"12",12,1
"13",13,1
"14",14,1
"15",15,4
"16",16,1
"17",17,1
"18",18,1
"19",19,4
"20",20,4
"21",21,4
"22",22,4
"23",23,4
"24",24,4
"25",25,4
"26",26,4
"27",27,4
"28",28,5
"29",29,2
"30",30,4
"31",31,4
"32",32,4
"33",33,4
"34",34,4
"35",35,4
"36",36,4
"37",37,1
"38",38,1
"39",39,1
"40",40,1
"41",41,1
"42",42,1
"43",43,1
"44",44,1
"45",45,2
"46",46,5
"47",47,1
"48",48,1
"49",49,1
"50",50,1
"51",51,1
"52",52,1
"53",53,1
"54",54,1
"55",55,1
"56",56,1
"57",57,1
"58",58,1
"59",59,1
"60",60,1
"61",61,1
"62",62,1
"63",63,1
"64",64,1
"65",65,6
"66",66,1
"67",67,1
"68",68,1
"69",69,6
"70",70,6
"71",71,1
"72",72,1
"73",73,1
"74",74,1
"75",75,6
"76",76,1
"77",77,1
"78",78,1
"79",79,1
"80",80,1
"81",81,1
"82",82,5
"83",83,1
"84",84,1
"85",85,1
"86",86,1
"87",87,7
"88",88,8
"89",89,1
"90",90,7
"91",91,5
"92",92,1
"93",93,2
"94",94,5
"95",95,1
"96",96,1
"97",97,5
"98",98,1
"99",99,1
"100",100,1
"101",101,1
"102",102,1
"103",103,1
"104",104,1
"105",105,1
"106",106,1
"107",107,1
"108",108,1
"109",109,1
"110",110,2
"111",111,2
"112",112,4
"113",113,7
"114",114,5
"115",115,1
"116",116,5
"117",117,5
"118",118,1
"119",119,1
"120",120,1
"121",121,1
"122",122,1
"123",123,1
"124",124,4
"125",125,4
"126",126,4
"127",127,4
"128",128,4
"129",129,4
"130",130,4
"131",131,4
"132",132,4
"133",133,7
"134",134,4
"135",135,2
"136",136,2
"137",137,7
"138",138,4
"139",139,4
"140",140,4
"141",141,4
"142",142,4
"143",143,4
"144",144,4
"145",145,4
"146",146,4
"147",147,7
"148",148,7
"149",149,7
"150",150,7
"151",151,7
"152",152,7
"153",153,7
"154",154,7
"155",155,7
"156",156,7
"157",157,5
"158",158,9
"159",159,7
"160",160,5
"161",161,7
"162",162,2
"163",163,5
"164",164,7
"165",165,7
"166",166,7
"167",167,7
"168",168,7
"169",169,7
"170",170,4
"171",171,4
"172",172,4
"173",173,4
"174",174,4
"175",175,4
"176",176,4
"177",177,4
"178",178,4
"179",179,4
"180",180,7
"181",181,5
"182",182,5
"183",183,4
"184",184,4
"185",185,6
"186",186,2
"187",187,4
"188",188,4
"189",189,4
"190",190,4
"191",191,4
"192",192,4
"193",193,5
"194",194,5
"195",195,5
"196",196,1
"197",197,2
"198",198,4
"199",199,2
"200",200,9
"201",201,9
"202",202,9
"203",203,9
"204",204,9
"205",205,9
"206",206,9
"207",207,9
"208",208,9
"209",209,1
"210",210,2
"211",211,9
"212",212,4
"213",213,5
"214",214,9
"215",215,5
"216",216,4
"217",217,9
"218",218,9
"219",219,9
"220",220,9
"221",221,9
"222",222,9
"223",223,1
"224",224,1
"225",225,1
"226",226,1
"227",227,1
"228",228,1
"229",229,1
"230",230,1
"231",231,1
"232",232,4
"233",233,2
"234",234,5
"235",235,7
"236",236,4
"237",237,1
"238",238,5
"239",239,1
"240",240,1
"241",241,1
"242",242,1
"243",243,1
"244",244,1
"245",245,1
"246",246,1
"247",247,1
"248",248,1
"249",249,1
"250",250,1
"251",251,1
"252",252,1
"253",253,1
"254",254,1
"255",255,2
"256",256,8
"257",257,8
"258",258,5
"259",259,1
"260",260,1
"261",261,5
"262",262,5
"263",263,1
"264",264,1
"265",265,1
"266",266,1
"267",267,1
"268",268,1
"269",269,4
"270",270,4
"271",271,4
"272",272,4
"273",273,4
"274",274,4
"275",275,4
"276",276,4
"277",277,4
"278",278,2
"279",279,8
"280",280,6
"281",281,9
"282",282,2
"283",283,4
"284",284,2
"285",285,9
"286",286,4
"287",287,4
"288",288,4
"289",289,4
"290",290,4
"291",291,4
"292",292,6
"293",293,5
"294",294,1
"295",295,1
"296",296,1
"297",297,1
"298",298,1
"299",299,1
"300",300,1
"301",301,1
"302",302,1
"303",303,2
"304",304,5
"305",305,9
"306",306,8
"307",307,5
"308",308,1
"309",309,1
"310",310,7
"311",311,1
"312",312,1
"313",313,4
"314",314,1
"315",315,1
"316",316,1
"317",317,1
"318",318,1
"319",319,1
"320",320,1
"321",321,1
"322",322,5
"323",323,1
"324",324,1
"325",325,1
"326",326,4
"327",327,5
"328",328,7
"329",329,3
"330",330,5
"331",331,1
"332",332,7
"333",333,4
"334",334,1
"335",335,1
"336",336,1
"337",337,5
"338",338,1
"339",339,1
"340",340,9
"341",341,9
"342",342,9
"343",343,9
"344",344,9
"345",345,9
