"","Observation Number","Cluster_Membership"
"1",1,4
"2",2,4
"3",3,4
"4",4,4
"5",5,4
"6",6,4
"7",7,4
"8",8,4
"9",9,4
"10",10,3
"11",11,5
"12",12,4
"13",13,4
"14",14,4
"15",15,6
"16",16,4
"17",17,4
"18",18,4
"19",19,1
"20",20,1
"21",21,1
"22",22,1
"23",23,1
"24",24,1
"25",25,1
"26",26,1
"27",27,1
"28",28,4
"29",29,1
"30",30,1
"31",31,1
"32",32,1
"33",33,1
"34",34,1
"35",35,1
"36",36,1
"37",37,6
"38",38,6
"39",39,6
"40",40,6
"41",41,6
"42",42,6
"43",43,6
"44",44,6
"45",45,2
"46",46,1
"47",47,6
"48",48,6
"49",49,6
"50",50,6
"51",51,6
"52",52,6
"53",53,6
"54",54,6
"55",55,6
"56",56,6
"57",57,4
"58",58,4
"59",59,4
"60",60,4
"61",61,4
"62",62,4
"63",63,4
"64",64,6
"65",65,6
"66",66,6
"67",67,6
"68",68,6
"69",69,6
"70",70,6
"71",71,6
"72",72,6
"73",73,6
"74",74,6
"75",75,6
"76",76,6
"77",77,6
"78",78,6
"79",79,6
"80",80,6
"81",81,6
"82",82,6
"83",83,6
"84",84,6
"85",85,6
"86",86,6
"87",87,6
"88",88,6
"89",89,6
"90",90,6
"91",91,6
"92",92,6
"93",93,6
"94",94,6
"95",95,6
"96",96,6
"97",97,6
"98",98,6
"99",99,6
"100",100,6
"101",101,6
"102",102,6
"103",103,6
"104",104,6
"105",105,6
"106",106,6
"107",107,6
"108",108,6
"109",109,6
"110",110,1
"111",111,6
"112",112,6
"113",113,6
"114",114,6
"115",115,6
"116",116,6
"117",117,6
"118",118,6
"119",119,6
"120",120,6
"121",121,6
"122",122,6
"123",123,6
"124",124,6
"125",125,6
"126",126,6
"127",127,6
"128",128,6
"129",129,6
"130",130,6
"131",131,4
"132",132,6
"133",133,6
"134",134,6
"135",135,6
"136",136,5
"137",137,6
"138",138,6
"139",139,6
"140",140,6
"141",141,6
"142",142,6
"143",143,6
"144",144,6
"145",145,6
"146",146,4
"147",147,6
"148",148,6
"149",149,6
"150",150,6
"151",151,6
"152",152,6
"153",153,6
"154",154,6
"155",155,6
"156",156,6
"157",157,6
"158",158,6
"159",159,6
"160",160,6
"161",161,6
"162",162,6
"163",163,6
"164",164,6
"165",165,6
"166",166,6
"167",167,6
"168",168,6
"169",169,6
"170",170,2
"171",171,2
"172",172,2
"173",173,2
"174",174,2
"175",175,2
"176",176,2
"177",177,2
"178",178,2
"179",179,4
"180",180,2
"181",181,2
"182",182,6
"183",183,2
"184",184,2
"185",185,2
"186",186,2
"187",187,2
"188",188,2
"189",189,1
"190",190,2
"191",191,2
"192",192,2
"193",193,2
"194",194,2
"195",195,2
"196",196,2
"197",197,2
"198",198,2
"199",199,2
"200",200,1
"201",201,1
"202",202,1
"203",203,1
"204",204,1
"205",205,1
"206",206,1
"207",207,1
"208",208,1
"209",209,6
"210",210,1
"211",211,1
"212",212,3
"213",213,1
"214",214,1
"215",215,1
"216",216,1
"217",217,1
"218",218,1
"219",219,1
"220",220,1
"221",221,1
"222",222,1
"223",223,6
"224",224,6
"225",225,6
"226",226,6
"227",227,6
"228",228,6
"229",229,6
"230",230,6
"231",231,6
"232",232,1
"233",233,6
"234",234,6
"235",235,6
"236",236,6
"237",237,6
"238",238,6
"239",239,6
"240",240,6
"241",241,6
"242",242,6
"243",243,6
"244",244,6
"245",245,6
"246",246,1
"247",247,1
"248",248,1
"249",249,1
"250",250,1
"251",251,1
"252",252,1
"253",253,1
"254",254,1
"255",255,1
"256",256,1
"257",257,1
"258",258,6
"259",259,1
"260",260,1
"261",261,1
"262",262,1
"263",263,1
"264",264,1
"265",265,1
"266",266,1
"267",267,4
"268",268,1
"269",269,6
"270",270,6
"271",271,6
"272",272,6
"273",273,6
"274",274,6
"275",275,6
"276",276,6
"277",277,6
"278",278,3
"279",279,6
"280",280,6
"281",281,2
"282",282,6
"283",283,6
"284",284,6
"285",285,6
"286",286,6
"287",287,6
"288",288,6
"289",289,6
"290",290,6
"291",291,6
"292",292,6
"293",293,4
"294",294,6
"295",295,6
"296",296,6
"297",297,6
"298",298,6
"299",299,6
"300",300,6
"301",301,6
"302",302,6
"303",303,3
"304",304,6
"305",305,6
"306",306,3
"307",307,6
"308",308,6
"309",309,6
"310",310,6
"311",311,6
"312",312,6
"313",313,6
"314",314,6
"315",315,6
"316",316,6
"317",317,6
"318",318,6
"319",319,6
"320",320,6
"321",321,6
"322",322,6
"323",323,6
"324",324,6
"325",325,6
"326",326,1
"327",327,6
"328",328,6
"329",329,5
"330",330,6
"331",331,6
"332",332,6
"333",333,6
"334",334,6
"335",335,6
"336",336,6
"337",337,6
"338",338,6
"339",339,6
"340",340,2
"341",341,2
"342",342,2
"343",343,2
"344",344,2
"345",345,2
"346",346,2
"347",347,2
"348",348,2
"349",349,1
"350",350,2
"351",351,2
"352",352,6
"353",353,2
"354",354,2
"355",355,2
"356",356,2
"357",357,2
"358",358,2
"359",359,2
"360",360,2
"361",361,2
"362",362,2
"363",363,6
"364",364,6
"365",365,6
"366",366,6
"367",367,6
"368",368,6
"369",369,6
"370",370,6
"371",371,6
"372",372,6
"373",373,6
"374",374,6
"375",375,6
"376",376,6
"377",377,2
"378",378,6
"379",379,6
"380",380,6
"381",381,6
"382",382,6
"383",383,6
"384",384,6
"385",385,4
"386",386,6
"387",387,6
"388",388,6
"389",389,6
"390",390,6
"391",391,6
"392",392,6
"393",393,6
"394",394,6
"395",395,6
"396",396,6
"397",397,2
"398",398,1
"399",399,6
"400",400,6
"401",401,6
"402",402,6
"403",403,6
"404",404,6
"405",405,6
"406",406,3
"407",407,3
"408",408,3
"409",409,3
"410",410,3
"411",411,3
"412",412,3
"413",413,3
"414",414,3
"415",415,1
"416",416,5
"417",417,3
"418",418,3
"419",419,3
"420",420,3
"421",421,3
"422",422,3
"423",423,3
"424",424,1
"425",425,1
"426",426,1
"427",427,1
"428",428,1
"429",429,1
"430",430,1
"431",431,1
"432",432,1
"433",433,1
"434",434,1
"435",435,1
"436",436,1
"437",437,1
"438",438,1
"439",439,1
"440",440,1
"441",441,1
"442",442,1
"443",443,1
"444",444,1
"445",445,1
"446",446,1
"447",447,1
"448",448,1
"449",449,4
"450",450,1
"451",451,1
"452",452,1
"453",453,1
"454",454,1
"455",455,1
"456",456,1
"457",457,1
"458",458,1
"459",459,1
"460",460,6
"461",461,6
"462",462,6
"463",463,6
"464",464,6
"465",465,6
"466",466,6
"467",467,6
"468",468,6
"469",469,6
"470",470,6
"471",471,6
"472",472,6
"473",473,6
"474",474,6
"475",475,6
"476",476,6
"477",477,6
"478",478,3
"479",479,3
"480",480,3
"481",481,3
"482",482,3
"483",483,3
"484",484,3
"485",485,3
"486",486,3
"487",487,6
"488",488,2
"489",489,3
"490",490,3
"491",491,3
"492",492,3
"493",493,3
"494",494,3
"495",495,3
"496",496,6
"497",497,6
"498",498,6
"499",499,6
"500",500,6
"501",501,6
"502",502,6
"503",503,6
"504",504,6
"505",505,1
"506",506,2
"507",507,6
"508",508,6
"509",509,6
"510",510,6
"511",511,6
"512",512,6
"513",513,6
"514",514,6
"515",515,6
"516",516,6
"517",517,6
"518",518,6
"519",519,6
"520",520,6
"521",521,6
"522",522,6
"523",523,2
"524",524,3
"525",525,6
