,Is_Resigning,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Employee.Source,cluster
1,2,41,4,1102,4,1,2,2,2,1,94,3,2,9,4,4,5993,19479,8,3,11,3,1,0,8,0,1,6,4,0,5,9,1
2,2,37,4,807,1,6,4,1,1,1,37,3,2,9,4,4,5993,19479,8,3,11,4,1,0,8,0,1,6,4,0,5,9,1
3,2,41,4,1102,4,1,2,2,2,1,94,3,2,9,4,4,5993,19479,4,3,11,3,1,0,8,0,1,6,4,0,5,9,1
4,2,37,4,807,1,6,4,3,1,1,37,3,2,9,4,4,5993,19479,5,3,11,3,1,0,8,0,1,6,4,0,5,9,1
5,2,37,4,807,1,6,4,1,1,1,37,3,2,9,4,4,5993,19479,8,3,11,3,1,0,8,0,1,6,4,0,5,9,1
6,2,37,4,807,1,6,4,3,1,1,37,3,2,9,4,4,5993,19479,5,3,11,3,1,0,8,0,1,6,4,0,5,9,1
7,2,41,4,1102,4,1,2,2,2,1,94,3,2,9,4,4,5993,19479,8,3,11,3,1,0,8,0,1,6,4,0,5,9,1
8,2,41,4,1102,4,1,2,2,2,1,94,3,2,9,4,4,5993,19479,4,3,11,3,1,0,8,0,1,6,4,0,5,9,1
9,2,41,4,1102,4,1,2,2,2,1,94,3,2,9,4,4,5993,19479,8,3,11,3,1,0,8,0,1,6,4,0,5,9,1
10,2,41,4,1102,4,1,2,2,4,1,33,3,4,4,3,1,14756,19730,2,3,14,3,3,3,21,2,3,5,0,0,2,2,2
11,2,41,4,1102,4,1,2,2,1,1,41,3,5,4,1,2,19566,3854,5,1,11,3,4,0,33,5,1,29,8,11,10,4,3
12,2,37,4,807,1,6,4,1,1,1,37,3,2,9,4,4,5993,19479,8,3,11,4,1,0,8,0,1,6,4,0,5,9,1
13,2,41,4,1102,4,1,2,2,2,1,94,3,2,9,4,4,5993,19479,4,3,11,3,1,0,8,0,1,6,4,0,5,9,1
14,2,37,4,807,1,6,4,3,1,1,37,3,2,9,4,4,5993,19479,5,3,11,3,1,0,8,0,1,6,4,0,5,9,1
15,2,37,4,807,1,6,4,1,1,1,77,2,1,2,1,2,2342,8635,0,1,21,4,1,0,8,0,1,6,4,0,5,9,4
16,2,37,4,807,1,6,4,3,1,1,37,3,2,9,4,4,5993,19479,5,3,11,3,1,0,8,0,1,6,4,0,5,9,1
17,2,41,4,1102,4,1,2,2,2,1,94,3,2,9,4,4,5993,19479,8,3,11,3,1,0,8,0,1,6,4,0,5,9,1
18,2,41,4,1102,4,1,2,2,2,1,94,3,2,9,4,4,5993,19479,4,3,11,3,1,0,8,0,1,6,4,0,5,9,1
19,1,49,3,279,3,8,1,2,3,2,61,2,2,8,2,2,5130,24907,1,1,23,3,4,1,10,3,3,10,7,1,7,10,5
20,1,59,1,1420,1,2,4,1,1,2,37,2,2,8,2,2,5130,24907,1,1,23,3,4,1,10,3,3,10,7,1,7,10,5
21,1,59,1,1420,1,2,4,2,1,2,37,2,2,8,2,2,5130,24907,2,1,23,3,4,1,10,3,3,10,7,1,7,10,5
22,1,49,3,279,3,8,1,3,3,2,61,2,2,8,2,2,5130,24907,3,1,23,3,4,1,10,3,3,10,7,1,7,10,5
23,1,49,3,279,3,8,1,2,3,2,61,2,2,8,2,2,5130,24907,1,1,23,4,4,1,10,3,3,10,7,1,7,10,5
24,1,49,3,279,3,8,1,3,3,2,61,2,2,8,2,2,5130,24907,3,1,23,4,4,1,10,3,3,10,7,1,7,10,5
25,1,59,1,1420,1,2,4,1,1,2,37,2,2,8,2,2,5130,24907,1,1,23,4,4,1,10,3,3,10,7,1,7,10,5
26,1,59,1,1420,1,2,4,2,1,2,37,2,2,8,2,2,5130,24907,2,1,23,4,4,1,16,3,2,14,8,6,9,10,5
27,1,49,3,279,3,8,1,2,3,2,61,2,2,8,2,2,5130,24907,1,1,23,3,4,1,10,3,3,10,7,1,7,10,5
28,1,49,3,279,3,8,1,2,2,2,95,2,2,5,2,4,6499,22656,1,1,13,3,3,0,6,3,3,6,5,0,3,4,2
29,1,49,3,279,3,8,1,2,3,1,87,3,2,5,3,1,4810,26314,2,1,14,3,3,1,19,5,2,10,7,0,8,9,5
30,1,59,1,1420,1,2,4,1,1,2,37,2,2,8,2,2,5130,24907,1,1,23,3,4,1,10,3,3,10,7,1,7,10,5
31,1,59,1,1420,1,2,4,2,1,2,37,2,2,8,2,2,5130,24907,2,1,23,3,4,1,10,3,3,10,7,1,7,10,5
32,1,49,3,279,3,8,1,3,3,2,61,2,2,8,2,2,5130,24907,3,1,23,3,4,1,10,3,3,10,7,1,7,10,5
33,1,49,3,279,3,8,1,2,3,2,61,2,2,8,2,2,5130,24907,1,1,23,4,4,1,10,3,3,10,7,1,7,10,5
34,1,49,3,279,3,8,1,3,3,2,61,2,2,8,2,2,5130,24907,3,1,23,4,4,1,10,3,3,10,7,1,7,10,5
35,1,59,1,1420,1,2,4,1,1,2,37,2,2,8,2,2,5130,24907,1,1,23,4,4,1,10,3,3,10,7,1,7,10,5
36,1,59,1,1420,1,2,4,2,1,2,37,2,2,8,2,2,5130,24907,2,1,23,4,4,1,16,3,2,14,8,6,9,10,5
37,2,37,2,1373,3,2,2,5,4,2,92,2,1,3,3,4,2090,2396,6,3,15,3,2,0,7,3,3,0,0,0,0,10,4
38,1,54,1,142,1,26,3,1,1,2,37,2,1,3,3,4,2090,2396,6,3,15,3,2,0,7,3,3,0,0,0,0,10,4
39,2,37,4,1373,3,2,2,2,4,2,92,2,1,3,3,4,2090,2396,1,3,15,3,2,0,7,3,3,0,0,0,0,10,4
40,1,54,1,142,1,26,3,6,1,2,37,2,1,3,3,4,2090,2396,1,3,15,3,2,0,7,3,3,0,0,0,0,10,4
41,2,37,4,1373,3,2,2,5,4,2,92,2,1,3,3,4,2090,2396,6,3,15,3,2,0,7,3,3,0,0,0,0,10,4
42,2,37,4,1373,3,2,2,2,4,2,92,2,1,3,3,4,2090,2396,1,3,15,3,2,0,7,3,3,0,0,0,0,10,4
43,1,54,1,142,1,26,3,1,1,2,37,2,1,3,3,4,2090,2396,6,3,15,3,2,0,7,3,3,0,0,0,0,10,4
44,2,37,4,1373,3,2,2,5,4,2,92,2,1,3,3,4,2090,2396,6,3,15,3,2,0,7,3,3,0,0,0,0,10,4
45,2,37,4,1373,3,2,2,5,2,2,59,3,3,8,1,1,9724,18787,2,1,17,3,3,1,25,2,3,1,0,0,0,2,2
