"","item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"X1","1","1",1,4959,11588.5057471264,6926.05866000546,11317,11594.5507684555,8739.927,1,23524,23523,0.019190041045602,-1.26563981358616,98.3533396669437
"X2","2","2",1,2575,11898.4178640777,6571.34010500094,12376,11949.6705482775,7948.2186,10,23522,23512,-0.085961740175464,-1.1655352316776,129.498676044653
"X3","3","3",1,1077,11341.0167130919,5960.04541097093,11474,11257.7207415991,6956.3592,11,23388,23377,0.087344562016436,-1.04475673963416,181.610819065161
"X4","4","4",1,5129,11829.461103529,7018.87444667202,11638,11828.4338611449,9463.4358,15,23529,23514,0.000280461201262,-1.22616411244067,98.0056524666383
"X5","5","5",1,3543,11865.6076771098,6584.27034125913,11383,11859.6582010582,8564.9802,19,23441,23422,-0.002375939362833,-1.15182946831586,110.617051446796
"X6","6","6",1,3855,12124.3216601816,6745.97930810738,12293,12207.5507293355,8947.491,37,23531,23494,-0.069711114575299,-1.18661738525633,108.65077126916
"X7","7","7",1,2394,11326.9686716792,6954.04981583087,11693.5,11181.5245302714,9055.7208,170,23532,23362,0.122419914007609,-1.20015111260709,142.12671702747
"Is_Resigning1","8","1",2,4959,1.15466827989514,0.361624631080406,1,1.06853111615016,0,1,2,1,1.90950534371998,1.64654281089761,0.005135242411094
"Is_Resigning2","9","2",2,2575,1.11922330097087,0.324114025544647,1,1.02426006792819,0,1,2,1,2.34873405396935,3.51791829052315,0.006387180776657
"Is_Resigning3","10","3",2,1077,1.09842154131848,0.29802216151634,1,1,0,1,2,1,2.69245474222808,5.25419367016591,0.009081147058531
"Is_Resigning4","11","4",2,5129,1.17937219730942,0.38370107748528,1,1.09939098660171,0,1,2,1,1.67091159638888,0.792100112563507,0.005357678747043
"Is_Resigning5","12","5",2,3543,1.16144510302004,0.367992939115684,1,1.07689594356261,0,1,2,1,1.83948823472763,1.38410786452296,0.006182354576655
"Is_Resigning6","13","6",2,3855,1.16498054474708,0.371211139100978,1,1.08136142625608,0,1,2,1,1.80453932976052,1.25668838371,0.005978728176434
"Is_Resigning7","14","7",2,2394,1.16750208855472,0.373501554194925,1,1.08455114822547,0,1,2,1,1.7796928537296,1.16779497773319,0.007633616541189
"Age1","15","1",3,4959,35.893325267191,8.54873045954877,35,35.2993197278912,8.8956,18,59,41,0.577432694878735,-0.176197316767442,0.121396053929535
"Age2","16","2",3,2575,40.3444660194175,9.71616334186349,40,40.1819505094614,11.8608,19,60,41,0.14866107615403,-0.988746039953527,0.191472404243294
"Age3","17","3",3,1077,41.4670380687094,9.93248958239129,42,41.9107763615295,11.8608,18,60,42,-0.350226369066544,-0.563431677462643,0.302656681959812
"Age4","18","4",3,5129,35.7705205693118,8.72237004592412,35,35.347868453106,8.8956,18,60,42,0.454611098327544,-0.137590504604688,0.121791830570723
"Age5","19","5",3,3543,36.5825571549534,9.16449834610053,35,35.8638447971781,8.8956,18,60,42,0.584298504056624,-0.290798478696936,0.15396539517556
"Age6","20","6",3,3855,35.3278858625162,8.83510289369245,34,34.9069692058347,8.8956,18,60,42,0.443005393859334,-0.099280395587166,0.142298204574747
"Age7","21","7",3,2394,38.7882205513784,8.63480231622858,38,38.5454070981211,8.8956,19,60,41,0.234885294588785,-0.357612359428438,0.176477899625188
"BusinessTravel1","22","1",4,4959,3.51381326880419,0.923976248571328,4,3.76669186192996,0,1,4,3,-1.95390781778535,2.58553416553224,0.013120903861916
"BusinessTravel2","23","2",4,2575,3.47378640776699,0.989843642249176,4,3.71664240659874,0,1,4,3,-1.80852620163054,1.80950499412706,0.019506438430258
"BusinessTravel3","24","3",4,1077,3.62952646239554,0.824339917580913,4,3.84704519119351,0,1,4,3,-2.40607113609915,4.77253523300325,0.025118776334221
"BusinessTravel4","25","4",4,5129,3.49658802885553,0.946521496198676,4,3.74518879415347,0,1,4,3,-1.8925478782204,2.27403766101814,0.013216429145934
"BusinessTravel5","26","5",4,3543,3.50437482359582,0.913182549540002,4,3.74885361552028,0,1,4,3,-1.92767481204484,2.57603420869461,0.015341648478465
"BusinessTravel6","27","6",4,3855,3.48741893644617,0.935537750061287,4,3.73387358184765,0,1,4,3,-1.87098677275646,2.27914193584402,0.015067774959436
"BusinessTravel7","28","7",4,2394,3.51921470342523,0.87678326996086,4,3.74008350730689,0,1,4,3,-1.98284767304159,2.9828249074051,0.017919677167176
"DailyRate1","29","1",5,4959,817.74510990119,402.426739069931,819,820.883345930965,517.4274,104,1498,1394,-0.031150244004136,-1.19198651970138,5.71465182461712
"DailyRate2","30","2",5,2575,802.157669902913,393.521828716017,809,801.523047064532,489.258,102,1496,1394,0.026433797173467,-1.07064046175413,7.75497158861291
"DailyRate3","31","3",5,1077,794.351903435469,411.224592020395,782,794.779837775203,533.736,103,1490,1387,-0.04131915137753,-1.24469984598793,12.5305815353501
"DailyRate4","32","4",5,5129,786.279391694287,407.872026764267,781,785.992448233861,535.2186,103,1490,1387,0.024105000118121,-1.25014487015093,5.69518152940826
"DailyRate5","33","5",5,3543,774.904600620943,408.61609678932,715,771.006701940035,541.149,103,1496,1393,0.101272890911805,-1.21762747490678,6.86483170614915
"DailyRate6","34","6",5,3855,826.013748378729,396.135312552934,854,832.590599675851,492.2232,111,1499,1388,-0.091008875721337,-1.20574798960099,6.3801570194708
"DailyRate7","35","7",5,2394,809.339598997494,400.449323954461,805,810.676931106472,490.7406,105,1499,1394,-0.011623073126484,-1.18043359604208,8.18437446622132
"Department1","36","1",6,4959,3.20850978019762,0.653040934503407,3,3.24489795918367,0,1,4,3,-1.17559261532133,3.32356982832367,0.009273493050026
"Department2","37","2",6,2575,3.20776699029126,0.642282697114362,3,3.23823386705483,0,1,4,3,-1.15195435270974,3.43151536114546,0.012657198926502
"Department3","38","3",6,1077,3.14948932219127,0.732244740359156,3,3.23290845886443,0,1,4,3,-1.27547780924448,2.56022732909713,0.022312509030215
"Department4","39","4",6,5129,3.22830961201014,0.65404797438388,3,3.26552984165652,0,1,4,3,-1.16828944484573,3.24355199491258,0.009132575167286
"Department5","40","5",6,3543,3.19644369178662,0.653201988305177,3,3.23280423280423,0,1,4,3,-1.18436792943263,3.36860803387614,0.010973923335548
"Department6","41","6",6,3855,3.1769130998703,0.633632960037422,3,3.20291734197731,0,1,4,3,-1.16710352365843,3.68100276069252,0.010205295134376
"Department7","42","7",6,2394,3.343776106934,0.66995464354068,3,3.39770354906054,0,1,4,3,-1.27241266279533,2.99128847157434,0.013692518254181
"DistanceFromHome1","43","1",7,4959,8.8735632183908,7.85720846846309,7,7.76467624086672,7.413,1,29,28,1.0004756215535,-0.102995438279422,0.111576111504104
"DistanceFromHome2","44","2",7,2575,8.85592233009709,7.86733302816743,7,7.68170790878214,7.413,1,29,28,1.05909911349812,0.066070896008183,0.155038271474446
"DistanceFromHome3","45","3",7,1077,8.94986072423398,8.3847585037649,6,7.78215527230591,5.9304,1,29,28,0.977783102504145,-0.359395528239764,0.255495177390645
"DistanceFromHome4","46","4",7,5129,9.3936439851823,8.15621458449125,7,8.32034104750305,7.413,1,29,28,0.921471040235771,-0.28268484362488,0.113886512443599
"DistanceFromHome5","47","5",7,3543,9.4036127575501,8.16215588868448,7,8.40564373897707,7.413,1,29,28,0.832954309298066,-0.533898880274964,0.137125842509486
"DistanceFromHome6","48","6",7,3855,8.80389105058366,7.86757519166698,7,7.60486223662885,7.413,1,29,28,1.08133932858155,0.16421600524216,0.126715199313671
"DistanceFromHome7","49","7",7,2394,10.2055137844612,8.70990634512006,8,9.2098121085595,8.8956,1,29,28,0.801032349972373,-0.646130043803428,0.178012874114094
"Education1","50","1",8,4959,2.85077636620286,1.05702423060226,3,2.89619551524313,1.4826,1,6,5,-0.201073394805447,-0.702246910619036,0.015010248727598
"Education2","51","2",8,2575,2.92699029126214,1.0534057274179,3,2.97428432799612,1.4826,1,6,5,-0.233021347648273,-0.523052875384029,0.020759030100216
"Education3","52","3",8,1077,2.91364902506964,1.09704289891293,3,2.9513325608343,1.4826,1,5,4,-0.13280353425205,-0.828275065050852,0.033428412987333
"Education4","53","4",8,5129,2.91460323649834,1.02851279815681,3,2.98148599269184,1.4826,1,6,5,-0.32024433463995,-0.563200515936683,0.014361286644961
"Education5","54","5",8,3543,2.91137454134914,1.00845824457499,3,2.9668430335097,1.4826,1,6,5,-0.182130526382369,-0.488971315915087,0.016942299106869
"Education6","55","6",8,3855,2.91206225680934,0.975462992682442,3,2.98768233387358,1.4826,1,6,5,-0.326685648340365,-0.477766981977488,0.01571081108596
"Education7","56","7",8,2394,3.02255639097744,0.986490856596895,3,3.11325678496868,1.4826,1,6,5,-0.522831471146067,-0.091034427440072,0.020161878407393
"EducationField1","57","1",9,4959,3.20246017342206,1.34361847496583,3,3.04887881078357,1.4826,1,7,6,0.576811618713582,-0.686108414786619,0.019080023825699
"EducationField2","58","2",9,2575,3.19223300970874,1.28403087938754,3,3.04221251819505,1.4826,1,6,5,0.583945270457307,-0.545206959914174,0.025303864390552
"EducationField3","59","3",9,1077,3.13091922005571,1.28998875746958,3,2.97914252607184,1.4826,1,6,5,0.625165478940537,-0.620787397896283,0.039307739903736
"EducationField4","60","4",9,5129,3.27490738935465,1.33288982181875,3,3.12911084043849,1.4826,1,6,5,0.512280839501332,-0.729771195892381,0.018611351099951
"EducationField5","61","5",9,3543,3.24668360146768,1.31751851392433,3,3.0973544973545,1.4826,1,6,5,0.541618278901408,-0.695380025991365,0.022134573108826
"EducationField6","62","6",9,3855,3.25914396887159,1.33280387100347,3,3.10275526742301,1.4826,1,6,5,0.548436510194612,-0.703087235883736,0.021466144783607
"EducationField7","63","7",9,2394,3.33918128654971,1.38624741788862,3,3.19989561586639,1.4826,1,6,5,0.523928484954012,-0.770900454730604,0.028332094205566
"EnvironmentSatisfaction1","64","1",10,4959,2.72373462391611,1.10533529862256,3,2.77954144620811,1.4826,1,4,3,-0.303869047479516,-1.24861677362578,0.015696288958546
"EnvironmentSatisfaction2","65","2",10,2575,2.68582524271845,1.1067414776156,3,2.73216885007278,1.4826,1,4,3,-0.318422492436388,-1.23317206133287,0.021810095625069
"EnvironmentSatisfaction3","66","3",10,1077,2.69359331476323,1.10964250994675,3,2.74159907300116,1.4826,1,4,3,-0.256304628467482,-1.28525535137444,0.033812340545258
"EnvironmentSatisfaction4","67","4",10,5129,2.76233183856502,1.08558151659618,3,2.82777101096224,1.4826,1,4,3,-0.365337595869499,-1.16076513652943,0.015158146174018
"EnvironmentSatisfaction5","68","5",10,3543,2.7688399661304,1.09509454073655,3,2.83597883597884,1.4826,1,4,3,-0.400082852166999,-1.15367156143763,0.018397806115688
"EnvironmentSatisfaction6","69","6",10,3855,2.66952010376135,1.09333127536142,3,2.71183144246353,1.4826,1,4,3,-0.240425963415145,-1.24819319532109,0.017609198145323
"EnvironmentSatisfaction7","70","7",10,2394,2.67460317460317,1.07657422670927,3,2.71816283924843,1.4826,1,4,3,-0.300968901690546,-1.1690949012996,0.022003000342369
"Gender1","71","1",11,4959,1.60254083484574,0.490245302817312,2,1.62761400856639,0,1,3,2,-0.408673486573376,-1.80553022047536,0.006961717356878
"Gender2","72","2",11,2575,1.57281553398058,0.494765563918474,2,1.59097525473071,0,1,2,1,-0.294229273059522,-1.91417205027391,0.009750139919127
"Gender3","73","3",11,1077,1.59981429897864,0.492055814507753,2,1.6234067207416,0,1,3,2,-0.38350133140164,-1.79182593325907,0.01499362057444
"Gender4","74","4",11,5129,1.63579645155001,0.483274826184762,2,1.66845310596833,0,1,3,2,-0.538309998342882,-1.63969489966013,0.006748042726907
"Gender5","75","5",11,3543,1.57239627434378,0.495371107410658,2,1.59012345679012,0,1,3,2,-0.285579162901517,-1.90028669962747,0.008322333141507
"Gender6","76","6",11,3855,1.63839169909209,0.481068162739383,2,1.67260940032415,0,1,3,2,-0.568857386246334,-1.65750779822014,0.007748085863806
"Gender7","77","7",11,2394,1.53550543024227,0.498841967958618,2,1.54436325678497,0,1,2,1,-0.142291954226401,-1.98057978624025,0.010195321158051
"HourlyRate1","78","1",12,4959,65.9348659003831,20.8657030524664,66,66.1635172587553,26.6868,30,100,70,-0.048436803139976,-1.26243317309922,0.296302945217502
"HourlyRate2","79","2",12,2575,65.2706796116505,19.8712281835424,66,65.4507520621058,25.2042,30,100,70,-0.083881952467559,-1.2164232442593,0.391594058446555
"HourlyRate3","80","3",12,1077,66.5747446610956,19.6650207696934,66,67.1019698725377,23.7216,30,100,70,-0.127059682087794,-1.01874228153483,0.599220355325385
"HourlyRate4","81","4",12,5129,65.977773445116,20.524040668287,66,66.0302070645554,26.6868,30,100,70,-0.009023176414336,-1.20121208811275,0.286580421437944
"HourlyRate5","82","5",12,3543,65.776178379904,19.9450084570868,65,65.7971781305115,25.2042,30,100,70,0.014770096196923,-1.15970010250814,0.335080109451042
"HourlyRate6","83","6",12,3855,66.547859922179,20.5475950827734,67,66.8567260940032,25.2042,30,100,70,-0.097908626503114,-1.1927631986273,0.330939653311222
"HourlyRate7","84","7",12,2394,64.6687552213868,19.9949045210921,65,64.4457202505219,25.2042,30,100,70,0.071193911181753,-1.16751816565279,0.408655418370912
"JobInvolvement1","85","1",13,4959,2.70921556765477,0.738593351498788,3,2.72486772486773,0,1,4,3,-0.524820250322299,0.166279722668733,0.010488378216486
"JobInvolvement2","86","2",13,2575,2.68349514563107,0.693248757530182,3,2.71373119844736,0,1,4,3,-0.562714490603016,0.299617423977093,0.01366156595691
"JobInvolvement3","87","3",13,1077,2.76415970287837,0.575277987216073,3,2.81460023174971,0,1,4,3,-0.936022291240147,1.41491810780571,0.017529515170497
"JobInvolvement4","88","4",13,5129,2.73386625073114,0.674028947367423,3,2.7415347137637,0,1,4,3,-0.494243411892103,0.388190712743823,0.009411572648869
"JobInvolvement5","89","5",13,3543,2.75444538526672,0.765276839222205,3,2.77601410934744,0,1,4,3,-0.440471090415486,0.009937005486782,0.012856803124383
"JobInvolvement6","90","6",13,3855,2.79481193255512,0.715078941619791,3,2.81750405186386,0,1,4,3,-0.647437002974057,0.586792843536992,0.011517064458225
"JobInvolvement7","91","7",13,2394,2.64160401002506,0.703550853179359,3,2.62421711899791,0,1,4,3,-0.146618141704794,-0.169230826556574,0.014379156847083
"JobLevel1","92","1",14,4959,1.60758217382537,0.623972315279136,2,1.54195011337869,1.4826,1,5,4,0.55961455364549,-0.377873920220991,0.008860704778866
"JobLevel2","93","2",14,2575,3.64970873786408,0.916065130358545,4,3.67345948568656,1.4826,1,5,4,-0.007776931513658,-0.764700872176302,0.018052515872953
"JobLevel3","94","3",14,1077,4.49025069637883,0.546318901647542,5,4.50521436848204,0,1,5,4,-0.88394321177116,3.24426230892999,0.016647091818521
"JobLevel4","95","4",14,5129,1.52758822382531,0.551968938186244,1,1.49987819732034,0,1,3,2,0.384865904488848,-0.927309824546516,0.007707229462398
"JobLevel5","96","5",14,3543,1.52272085802992,0.538710678966004,2,1.51358024691358,0,1,5,4,0.722173097103841,2.67667039498786,0.009050446564551
"JobLevel6","97","6",14,3855,1.52814526588846,0.61310211048862,1,1.45607779578606,0,1,3,2,0.716677525732791,-0.462139190161727,0.009874625184705
"JobLevel7","98","7",14,2394,3.02422723475355,0.523814331993817,3,3.03131524008351,0,1,4,3,-0.005104879451862,0.772106429864998,0.010705705784382
"JobRole1","99","1",15,4959,6.15486993345433,3.05328039261566,8,6.34063995968758,2.9652,1,10,9,-0.385288793093385,-1.45813183596352,0.043358039296928
"JobRole2","100","2",15,2575,5.28543689320388,2.46145135387247,5,5.35613779718583,2.9652,1,10,9,-0.083934280876722,-0.832039572901203,0.048506801714954
"JobRole3","101","3",15,1077,5.12906220984216,1.51112982204149,4,5.04287369640788,0,1,10,9,0.44595553959759,-1.43489638648154,0.046046213706623
"JobRole4","102","4",15,5129,6.04815753558198,3.00983518761625,8,6.1700365408039,2.9652,1,10,9,-0.265936376208986,-1.56919336156877,0.04202680410094
"JobRole5","103","5",15,3543,6.21958791984194,2.908017723516,8,6.36825396825397,2.9652,1,10,9,-0.373740123176561,-1.44811768139441,0.048855276204963
"JobRole6","104","6",15,3855,6.09961089494163,2.96597857532284,8,6.26839546191248,2.9652,1,10,9,-0.366573215996812,-1.44065667262141,0.047770063479048
"JobRole7","105","7",15,2394,5.88095238095238,3.08597188810583,7,6.09759916492693,2.9652,1,10,9,-0.44417087077883,-1.26063688629801,0.063071025504746
"JobSatisfaction1","106","1",16,4959,2.7430933655979,1.09241221658413,3,2.80372889896699,1.4826,1,4,3,-0.324186670900019,-1.20769099228176,0.015512775023758
"JobSatisfaction2","107","2",16,2575,2.72349514563107,1.10644234528418,3,2.77923338185347,1.4826,1,4,3,-0.326746233318885,-1.23304666435508,0.021804200748185
"JobSatisfaction3","108","3",16,1077,2.70287836583101,1.07649829755265,3,2.7531865585168,1.4826,1,4,3,-0.260717329881347,-1.204555949673,0.032802390596037
"JobSatisfaction4","109","4",16,5129,2.78904269838175,1.09918990518903,3,2.86114494518879,1.4826,1,4,3,-0.406765537606741,-1.16522766722925,0.015348162253262
"JobSatisfaction5","110","5",16,3543,2.69376234829241,1.0846097727248,3,2.74215167548501,1.4826,1,4,3,-0.332971614116989,-1.16859452765491,0.018221659927507
"JobSatisfaction6","111","6",16,3855,2.70142671854734,1.10799122960433,3,2.7517017828201,1.4826,1,4,3,-0.297967472038619,-1.25269753443746,0.017845311430365
"JobSatisfaction7","112","7",16,2394,2.65747702589808,1.139851230613,3,2.69676409185804,1.4826,1,4,3,-0.242269600974337,-1.35407993475921,0.023296254354973
"MaritalStatus1","113","1",17,4959,2.42468239564428,1.16573533076351,2,2.40589569160998,1.4826,1,4,3,0.365857595417972,-1.388122899258,0.016553998251619
"MaritalStatus2","114","2",17,2575,2.31339805825243,1.1170932572409,2,2.26686074721009,1.4826,1,4,3,0.551524965038561,-1.10234225767725,0.022014093855987
"MaritalStatus3","115","3",17,1077,2.15506035283194,0.981759724746753,2,2.06952491309386,0,1,4,3,0.893447803662628,-0.193523333919055,0.029915575376027
"MaritalStatus4","116","4",17,5129,2.49717293819458,1.16803909570524,2,2.49646772228989,1.4826,1,4,3,0.280262836865326,-1.46744637307563,0.016309514374546
"MaritalStatus5","117","5",17,3543,2.49336720293537,1.18569419793592,2,2.49171075837743,1.4826,1,4,3,0.261128832106397,-1.50113148602515,0.019919898378317
"MaritalStatus6","118","6",17,3855,2.41997405966278,1.13617019789275,2,2.4,1.4826,1,4,3,0.412320372985305,-1.30541006044548,0.018299162012804
