,Is_Resigning,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Employee.Source,cluster
1,2,41,4,1102,4,1,2,2,2,1,94,3,2,9,4,4,5993,19479,8,3,11,3,1,0,8,0,1,6,4,0,5,9,8
2,2,37,4,807,1,6,4,1,1,1,37,3,2,9,4,4,5993,19479,8,3,11,4,1,0,8,0,1,6,4,0,5,9,8
3,2,41,4,1102,4,1,2,2,2,1,94,3,2,9,4,4,5993,19479,4,3,11,3,1,0,8,0,1,6,4,0,5,9,8
4,2,37,4,807,1,6,4,3,1,1,37,3,2,9,4,4,5993,19479,5,3,11,3,1,0,8,0,1,6,4,0,5,9,8
5,2,37,4,807,1,6,4,1,1,1,37,3,2,9,4,4,5993,19479,8,3,11,3,1,0,8,0,1,6,4,0,5,9,8
6,2,37,4,807,1,6,4,3,1,1,37,3,2,9,4,4,5993,19479,5,3,11,3,1,0,8,0,1,6,4,0,5,9,8
7,2,41,4,1102,4,1,2,2,2,1,94,3,2,9,4,4,5993,19479,8,3,11,3,1,0,8,0,1,6,4,0,5,9,8
8,2,41,4,1102,4,1,2,2,2,1,94,3,2,9,4,4,5993,19479,4,3,11,3,1,0,8,0,1,6,4,0,5,9,8
9,2,41,4,1102,4,1,2,2,2,1,94,3,2,9,4,4,5993,19479,8,3,11,3,1,0,8,0,1,6,4,0,5,9,8
10,2,41,4,1102,4,1,2,2,4,1,33,3,4,4,3,1,14756,19730,2,3,14,3,3,3,21,2,3,5,0,0,2,2,2
11,2,41,4,1102,4,1,2,2,1,1,41,3,5,4,1,2,19566,3854,5,1,11,3,4,0,33,5,1,29,8,11,10,4,6
12,2,37,4,807,1,6,4,1,1,1,37,3,2,9,4,4,5993,19479,8,3,11,4,1,0,8,0,1,6,4,0,5,9,8
13,2,41,4,1102,4,1,2,2,2,1,94,3,2,9,4,4,5993,19479,4,3,11,3,1,0,8,0,1,6,4,0,5,9,8
14,2,37,4,807,1,6,4,3,1,1,37,3,2,9,4,4,5993,19479,5,3,11,3,1,0,8,0,1,6,4,0,5,9,8
15,2,37,4,807,1,6,4,1,1,1,77,2,1,2,1,2,2342,8635,0,1,21,4,1,0,8,0,1,6,4,0,5,9,4
16,2,37,4,807,1,6,4,3,1,1,37,3,2,9,4,4,5993,19479,5,3,11,3,1,0,8,0,1,6,4,0,5,9,8
17,2,41,4,1102,4,1,2,2,2,1,94,3,2,9,4,4,5993,19479,8,3,11,3,1,0,8,0,1,6,4,0,5,9,8
18,2,41,4,1102,4,1,2,2,2,1,94,3,2,9,4,4,5993,19479,4,3,11,3,1,0,8,0,1,6,4,0,5,9,8
19,1,49,3,279,3,8,1,2,3,2,61,2,2,8,2,2,5130,24907,1,1,23,3,4,1,10,3,3,10,7,1,7,10,9
20,1,59,1,1420,1,2,4,1,1,2,37,2,2,8,2,2,5130,24907,1,1,23,3,4,1,10,3,3,10,7,1,7,10,9
21,1,59,1,1420,1,2,4,2,1,2,37,2,2,8,2,2,5130,24907,2,1,23,3,4,1,10,3,3,10,7,1,7,10,9
22,1,49,3,279,3,8,1,3,3,2,61,2,2,8,2,2,5130,24907,3,1,23,3,4,1,10,3,3,10,7,1,7,10,9
23,1,49,3,279,3,8,1,2,3,2,61,2,2,8,2,2,5130,24907,1,1,23,4,4,1,10,3,3,10,7,1,7,10,9
24,1,49,3,279,3,8,1,3,3,2,61,2,2,8,2,2,5130,24907,3,1,23,4,4,1,10,3,3,10,7,1,7,10,9
25,1,59,1,1420,1,2,4,1,1,2,37,2,2,8,2,2,5130,24907,1,1,23,4,4,1,10,3,3,10,7,1,7,10,9
26,1,59,1,1420,1,2,4,2,1,2,37,2,2,8,2,2,5130,24907,2,1,23,4,4,1,16,3,2,14,8,6,9,10,9
27,1,49,3,279,3,8,1,2,3,2,61,2,2,8,2,2,5130,24907,1,1,23,3,4,1,10,3,3,10,7,1,7,10,9
28,1,49,3,279,3,8,1,2,2,2,95,2,2,5,2,4,6499,22656,1,1,13,3,3,0,6,3,3,6,5,0,3,4,9
29,1,49,3,279,3,8,1,2,3,1,87,3,2,5,3,1,4810,26314,2,1,14,3,3,1,19,5,2,10,7,0,8,9,9
30,1,59,1,1420,1,2,4,1,1,2,37,2,2,8,2,2,5130,24907,1,1,23,3,4,1,10,3,3,10,7,1,7,10,9
31,1,59,1,1420,1,2,4,2,1,2,37,2,2,8,2,2,5130,24907,2,1,23,3,4,1,10,3,3,10,7,1,7,10,9
32,1,49,3,279,3,8,1,3,3,2,61,2,2,8,2,2,5130,24907,3,1,23,3,4,1,10,3,3,10,7,1,7,10,9
33,1,49,3,279,3,8,1,2,3,2,61,2,2,8,2,2,5130,24907,1,1,23,4,4,1,10,3,3,10,7,1,7,10,9
34,1,49,3,279,3,8,1,3,3,2,61,2,2,8,2,2,5130,24907,3,1,23,4,4,1,10,3,3,10,7,1,7,10,9
35,1,59,1,1420,1,2,4,1,1,2,37,2,2,8,2,2,5130,24907,1,1,23,4,4,1,10,3,3,10,7,1,7,10,9
36,1,59,1,1420,1,2,4,2,1,2,37,2,2,8,2,2,5130,24907,2,1,23,4,4,1,16,3,2,14,8,6,9,10,9
37,2,37,2,1373,3,2,2,5,4,2,92,2,1,3,3,4,2090,2396,6,3,15,3,2,0,7,3,3,0,0,0,0,10,1
38,1,54,1,142,1,26,3,1,1,2,37,2,1,3,3,4,2090,2396,6,3,15,3,2,0,7,3,3,0,0,0,0,10,1
39,2,37,4,1373,3,2,2,2,4,2,92,2,1,3,3,4,2090,2396,1,3,15,3,2,0,7,3,3,0,0,0,0,10,1
40,1,54,1,142,1,26,3,6,1,2,37,2,1,3,3,4,2090,2396,1,3,15,3,2,0,7,3,3,0,0,0,0,10,1
41,2,37,4,1373,3,2,2,5,4,2,92,2,1,3,3,4,2090,2396,6,3,15,3,2,0,7,3,3,0,0,0,0,10,1
42,2,37,4,1373,3,2,2,2,4,2,92,2,1,3,3,4,2090,2396,1,3,15,3,2,0,7,3,3,0,0,0,0,10,1
43,1,54,1,142,1,26,3,1,1,2,37,2,1,3,3,4,2090,2396,6,3,15,3,2,0,7,3,3,0,0,0,0,10,1
44,2,37,4,1373,3,2,2,5,4,2,92,2,1,3,3,4,2090,2396,6,3,15,3,2,0,7,3,3,0,0,0,0,10,1
45,2,37,4,1373,3,2,2,5,2,2,59,3,3,8,1,1,9724,18787,2,1,17,3,3,1,25,2,3,1,0,0,0,2,5
46,2,37,4,1373,3,2,2,5,4,1,88,2,2,1,4,2,4523,4386,0,1,11,4,4,3,7,4,4,6,5,0,4,2,1
47,1,54,1,142,1,26,3,1,1,2,37,2,1,3,3,4,2090,2396,6,3,15,3,2,0,7,3,3,0,0,0,0,10,1
48,2,37,4,1373,3,2,2,2,4,2,92,2,1,3,3,4,2090,2396,1,3,15,3,2,0,7,3,3,0,0,0,0,10,1
49,1,54,1,142,1,26,3,6,1,2,37,2,1,3,3,4,2090,2396,1,3,15,3,2,0,7,3,3,0,0,0,0,10,1
50,2,37,4,1373,3,2,2,5,4,2,92,2,1,3,3,4,2090,2396,6,3,15,3,2,0,7,3,3,0,0,0,0,10,1
51,2,37,4,1373,3,2,2,2,4,2,92,2,1,3,3,4,2090,2396,1,3,15,3,2,0,7,3,3,0,0,0,0,10,1
52,1,54,1,142,1,26,3,1,1,2,37,2,1,3,3,4,2090,2396,6,3,15,3,2,0,7,3,3,0,0,0,0,10,1
53,1,33,3,1392,3,3,4,2,4,1,56,3,1,8,3,2,2909,23159,1,3,11,3,3,0,8,3,3,8,7,3,0,10,9
54,1,30,4,1240,1,9,3,1,1,1,37,3,1,8,3,2,2909,23159,1,3,11,3,3,0,8,3,3,8,7,3,0,10,9
55,1,33,3,1392,3,3,4,2,4,1,56,3,1,8,3,2,2909,23159,2,3,11,3,3,0,8,3,3,8,7,3,0,10,9
56,1,30,4,1240,1,9,3,4,1,1,37,3,1,8,3,2,2909,23159,3,3,11,4,3,0,8,3,3,8,7,3,0,10,9
57,2,41,4,1102,4,1,2,2,2,1,94,3,2,9,4,4,5993,19479,8,3,11,3,1,0,8,0,1,6,4,0,5,9,8
58,2,37,4,807,1,6,4,1,1,1,37,3,2,9,4,4,5993,19479,8,3,11,4,1,0,8,0,1,6,4,0,5,9,8
59,2,41,4,1102,4,1,2,2,2,1,94,3,2,9,4,4,5993,19479,4,3,11,3,1,0,8,0,1,6,4,0,5,9,8
60,2,37,4,807,1,6,4,3,1,1,37,3,2,9,4,4,5993,19479,5,3,11,3,1,0,8,0,1,6,4,0,5,9,8
61,2,37,4,807,1,6,4,1,1,1,37,3,2,9,4,4,5993,19479,8,3,11,3,1,0,8,0,1,6,4,0,5,9,8
62,2,37,4,807,1,6,4,3,1,1,37,3,2,9,4,4,5993,19479,5,3,11,3,1,0,8,0,1,6,4,0,5,9,8
63,2,41,4,1102,4,1,2,2,2,1,94,3,2,9,4,4,5993,19479,8,3,11,3,1,0,8,0,1,6,4,0,5,9,8
64,1,30,4,1240,1,9,3,1,1,1,37,3,1,8,3,2,2909,23159,1,3,11,3,3,0,8,3,3,8,7,3,0,10,9
65,1,30,4,1240,1,9,3,4,1,1,37,3,1,8,3,2,2909,23159,3,3,11,3,3,0,8,3,3,8,7,3,0,2,9
66,1,33,3,1392,3,3,4,2,4,1,56,3,1,8,3,2,2909,23159,1,3,11,3,3,0,8,3,3,8,7,3,0,10,9
67,1,33,3,1392,3,3,4,2,4,1,56,3,1,8,3,2,2909,23159,2,3,11,3,3,0,8,3,3,8,7,3,0,10,9
68,1,33,3,1392,3,3,4,2,4,1,56,3,1,8,3,2,2909,23159,1,3,11,3,3,0,8,3,3,8,7,3,0,10,9
69,1,33,3,1392,3,3,4,2,2,2,79,3,1,8,1,2,2194,5868,4,1,13,3,4,1,5,2,2,3,2,1,2,2,1
70,1,33,3,1392,3,3,4,2,1,1,62,3,1,10,2,4,3202,21972,1,3,16,4,2,0,6,4,3,5,3,1,4,2,9
71,1,30,4,1240,1,9,3,1,1,1,37,3,1,8,3,2,2909,23159,1,3,11,3,3,0,8,3,3,8,7,3,0,10,9
72,1,33,3,1392,3,3,4,2,4,1,56,3,1,8,3,2,2909,23159,2,3,11,3,3,0,8,3,3,8,7,3,0,10,9
73,1,30,4,1240,1,9,3,4,1,1,37,3,1,8,3,2,2909,23159,3,3,11,4,3,0,8,3,3,8,7,3,0,10,9
74,1,30,4,1240,1,9,3,1,1,1,37,3,1,8,3,2,2909,23159,1,3,11,3,3,0,8,3,3,8,7,3,0,10,9
75,1,30,4,1240,1,9,3,4,1,1,37,3,1,8,3,2,2909,23159,3,3,11,3,3,0,8,3,3,8,7,3,0,2,9
76,1,33,3,1392,3,3,4,2,4,1,56,3,1,8,3,2,2909,23159,1,3,11,3,3,0,8,3,3,8,7,3,0,10,9
77,1,33,3,1392,3,3,4,2,4,1,56,3,1,8,3,2,2909,23159,2,3,11,3,3,0,8,3,3,8,7,3,0,10,9
78,1,27,4,591,3,2,1,4,1,2,40,3,1,3,2,2,3468,16632,9,1,12,3,4,1,6,3,3,2,2,2,2,10,8
79,1,31,4,106,1,2,3,1,1,2,37,3,1,3,2,2,3468,16632,9,1,12,3,4,1,6,3,3,2,2,2,2,10,8
80,1,27,4,591,3,2,1,2,1,2,40,3,1,3,2,2,3468,16632,1,1,12,4,4,1,6,3,3,2,2,2,2,10,8
81,1,31,4,106,1,2,3,2,1,2,37,3,1,3,2,2,3468,16632,1,1,12,3,4,1,6,3,3,2,2,2,2,10,8
