"","item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"X1","1","1",1,4340,12185.9407834101,6775.08420438018,12667.5,12276.5100806452,8851.122,37,23531,23494,-0.082235530708708,-1.21911187809854,102.841838632794
"X2","2","2",1,1200,11510.5833333333,6455.50782955946,12441.5,11534.9677083333,8266.9776,10,23103,23093,-0.089178497498202,-1.16917349443946,186.354459157595
"X3","3","3",1,1313,11486.3526275704,6965.32797494686,11687,11276.6260704091,9107.6118,278,23530,23252,0.220305751950556,-1.15189340526255,192.224707057876
"X4","4","4",1,4237,11768.0809535048,7044.53362211273,11626,11775.9861397818,9496.053,15,23529,23514,-0.018242241158131,-1.21316875545276,108.223858628166
"X5","5","5",1,1711,12442.9865575687,6428.56100360043,12762,12628.0474799123,7777.7196,45,23522,23477,-0.212309165891121,-1.09259668699644,155.413508445226
"X6","6","6",1,1074,11219.9972067039,5881.99622959017,11241.5,11135.2872093023,6524.9226,11,23388,23377,0.104925257120763,-1.01460145513456,179.482702892846
"X7","7","7",1,1484,11184.0269541779,6904.32345911845,11329.5,11061.2668350168,8760.6834,170,23532,23362,0.128111722187935,-1.16322420725867,179.22730682633
"X8","8","8",1,4202,11592.2103760114,7034.48922319772,11103.5,11591.8036882808,8947.491,1,23524,23523,0.048365541375434,-1.28618794981001,108.518690532898
"X9","9","9",1,3971,11734.7932510703,6617.67600709086,11257,11710.7881649355,8652.4536,19,23441,23422,0.013429774350182,-1.18017654351888,105.016020572525
"Is_Resigning1","10","1",2,4340,1.17165898617511,0.377127232331619,1,1.08957373271889,0,1,2,1,1.74087327072022,1.03087743333125,0.005724572094086
"Is_Resigning2","11","2",2,1200,1.07833333333333,0.268807434333297,1,1,0,1,2,1,3.13469959506689,7.83287102658933,0.007759802228625
"Is_Resigning3","12","3",2,1313,1.17060167555217,0.37630385591819,1,1.08848715509039,0,1,2,1,1.74937059342116,1.06110736774328,0.010384995326681
"Is_Resigning4","13","4",2,4237,1.17890016521123,0.383313936396968,1,1.09879091713359,0,1,2,1,1.67499284316099,0.805791371434006,0.005888780647255
"Is_Resigning5","14","5",2,1711,1.15488018702513,0.361896200457344,1,1.06866325785245,0,1,2,1,1.90617147151013,1.63444596107854,0.008749012131109
"Is_Resigning6","15","6",2,1074,1.11918063314711,0.324151884936799,1,1.02441860465116,0,1,2,1,2.34744762635579,3.51378463880742,0.009891141405971
