"","item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"X1","1","1",1,4532,11638.7572815534,6981.85131870209,11216.5,11643.9873138445,8951.9388,1,23524,23523,0.028035846523694,-1.27411285086901,103.711196697803
"X2","2","2",1,2227,11604.5518634935,6519.555998887,11923,11600.5199102636,7940.8056,10,23473,23463,-0.034879376511468,-1.10028636133719,138.152233803204
"X3","3","3",1,1125,11283.9075555556,5905.46465762071,11247,11192.5915649279,6790.308,11,23388,23377,0.109758617439526,-1.03386449184137,176.066938842166
"X4","4","4",1,4609,12043.3263180733,6723.61425967744,12197,12114.4250474383,8818.5048,37,23531,23494,-0.056696047984312,-1.19528910330907,99.0374467718169
"X5","5","5",1,4741,11897.0137101877,6663.10143634913,12116,11908.2069601898,8406.342,19,23522,23503,-0.040911335813608,-1.19916166025275,96.7701573412017
"X6","6","6",1,1865,11176.0820375335,6730.94809764263,11842,11040.1299397187,8717.688,170,23532,23362,0.128972515251383,-1.11110513857892,155.860772223314
"X7","7","7",1,4433,11921.9199187909,7147.86514641275,11592,11931.4446010713,9708.0648,15,23529,23514,-0.004522609091153,-1.25818767107726,107.356287511019
"Is_Resigning1","8","1",2,4532,1.14518976169462,0.35233093254874,1,1.0565361279647,0,1,2,1,2.01362932143638,2.05515666695896,0.005233663820712
"Is_Resigning2","9","2",2,2227,1.10507409070498,0.306717735777891,1,1.00673022994952,0,1,2,1,2.57401857056466,4.62765018135284,0.006499482534088
"Is_Resigning3","10","3",2,1125,1.09422222222222,0.292267555912095,1,1,0,1,2,1,2.77428731461175,5.70174068762829,0.008713734968496
"Is_Resigning4","11","4",2,4609,1.17270557604686,0.378033552264528,1,1.09108159392789,0,1,2,1,1.73118713917226,0.997225416860636,0.005568356000862
"Is_Resigning5","12","5",2,4741,1.16663151233917,0.372685856913664,1,1.08331136303717,0,1,2,1,1.78862795787868,1.19944309885822,0.005412624940036
"Is_Resigning6","13","6",2,1865,1.1597855227882,0.366505299050857,1,1.07501674480911,0,1,2,1,1.85553691835381,1.44379226907939,0.008486738882151
"Is_Resigning7","14","7",2,4433,1.18655538010377,0.389598139672681,1,1.10826050183253,0,1,2,1,1.60870333235794,0.588059219098934,0.005851510771359
"Age1","15","1",3,4532,36.2116063548102,8.72286054415486,35,35.6596800882515,8.8956,18,59,41,0.516404982503838,-0.348274292345191,0.129572840263594
"Age2","16","2",3,2227,41.2411315671307,9.82697372314888,41,41.2815479528884,11.8608,19,60,41,-0.01068032488895,-1.00671143754198,0.208237857242146
"Age3","17","3",3,1125,41.6284444444444,9.93496153270791,42,42.0865704772475,11.8608,18,60,42,-0.351547315279282,-0.586520283842247,0.296203324546405
"Age4","18","4",3,4609,35.3979171186808,8.75278006436289,34,35.0281919219301,7.413,18,60,42,0.412225047011738,-0.086116118457662,0.128926639192913
"Age5","19","5",3,4741,36.4275469310272,8.87061667318669,35,35.717374110203,8.8956,18,60,42,0.6215402425005,-0.154715581851151,0.128830542259928
"Age6","20","6",3,1865,38.4600536193029,8.5949404343535,38,38.1004688546551,8.8956,19,60,41,0.323812533671011,-0.233753690632362,0.199023084694546
"Age7","21","7",3,4433,35.7099030002256,8.70001109042057,35,35.2605018325345,7.413,18,60,42,0.471408724294907,-0.130844635624547,0.130668510504984
"BusinessTravel1","22","1",4,4532,3.51831421006178,0.915242793538658,4,3.76778819635962,0,1,4,3,-1.97084713815681,2.68959898086879,0.013595380516436
"BusinessTravel2","23","2",4,2227,3.50157162101482,0.972844335094956,4,3.75098149186764,0,1,4,3,-1.89326646302826,2.12868239507412,0.020614995570113
